coverage,deployed_confidence,agreement_baseline,oracle
0.005,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.015,0.0,0.0,0.0
0.02,0.0,0.0,0.0
0.025,0.0,0.0,0.0
0.03,0.0,0.0,0.0
0.035,0.0,0.0,0.0
0.04,0.029411764705882353,0.0,0.0
0.045,0.026143790849673203,0.0,0.0
0.05,0.023529411764705882,0.0,0.0
0.055,0.0213903743315508,0.0,0.0
0.06,0.0196078431372549,0.0,0.0
0.065,0.018099547511312215,0.0,0.0
0.07,0.028711484593837537,0.0,0.0
0.075,0.026797385620915035,0.0,0.0
0.08,0.025122549019607844,0.0,0.0
0.085,0.02364475201845444,0.0,0.0
0.09,0.022331154684095862,0.0,0.0
0.095,0.021155830753353973,0.0,0.0
0.1,0.020098039215686276,0.0,0.0
0.105,0.019140989729225025,0.0,0.0
0.11,0.018270944741532978,0.0,0.0
0.115,0.017476555839727195,0.043478260869565216,0.0
0.12,0.016748366013071895,0.041666666666666664,0.0
0.125,0.020522875816993462,0.04,0.0
0.13,0.01973353443941679,0.038461538461538464,0.0
0.135,0.019002662793512464,0.037037037037037035,0.0
0.14,0.018323996265172733,0.03571428571428571,0.0
0.145,0.017692134324994363,0.034482758620689655,0.0
0.15,0.03464625616328402,0.03333333333333333,0.0
0.155,0.033528634996726474,0.03225806451612903,0.0
0.16,0.03248086515307877,0.03125,0.0
0.165,0.03582560084108071,0.030303030303030304,0.0
0.17,0.03477190669869598,0.029411764705882353,0.0
0.175,0.033778423650161815,0.02857142857142857,0.0
0.18,0.03284013410432399,0.027777777777777776,0.0
0.185,0.03195256291231523,0.02702702702702703,0.0
0.19,0.03637486388830693,0.02631578947368421,0.0
0.195,0.035442175070658034,0.02564102564102564,0.0
0.2,0.03705612069389159,0.025,0.0
0.205,0.03615231287208935,0.024390243902439025,0.0
0.21,0.035291543517991984,0.023809523809523808,0.0
0.215,0.03447080994780613,0.023255813953488372,0.0
0.22,0.03368738244899235,0.022727272727272728,0.0
0.225,0.03293877395012586,0.022222222222222223,0.0
0.23,0.03222271364686225,0.021739130434782608,0.0
0.235,0.03153712399480135,0.02127659574468085,0.0
0.24,0.03088010057824299,0.020833333333333332,0.0
0.245,0.030249894443993133,0.02040816326530612,0.0
0.25,0.02964489655511327,0.02,0.0
0.255,0.02906362407364046,0.0196078431372549,0.0
0.26,0.02850470822607045,0.019230769230769232,0.0
0.265,0.0306623013323171,0.018867924528301886,0.0
