stratum,n,mean_ned,aurc_weight_share_pct,aurc_loss_share_pct
4-0,52,0.0328,27.5,5.9
3-1,39,0.1413,21.9,6.9
2-1-1,55,0.1891,27.8,31.2
2-2,3,0.3667,1.8,3.3
1-1-1-1,51,0.2488,20.9,52.7
TOTAL,200,,99.9,100.0
