coverage,deployed_confidence,agreement_baseline,oracle
0.005,0.0,0.0,0.0
0.01,0.0,0.0,0.0
0.015,0.0,0.0,0.0
0.02,0.022727272727272728,0.0,0.0
0.025,0.01818181818181818,0.0,0.0
0.03,0.015151515151515152,0.0,0.0
0.035,0.012987012987012988,0.0,0.0
0.04,0.025252525252525252,0.0,0.0
0.045,0.02244668911335578,0.0,0.0
0.05,0.0202020202020202,0.008333333333333333,0.0
0.055,0.018365472910927456,0.007575757575757575,0.0
0.06,0.016835016835016835,0.006944444444444444,0.0
0.065,0.01554001554001554,0.00641025641025641,0.0
0.07,0.01443001443001443,0.005952380952380952,0.0
0.075,0.020134680134680134,0.005555555555555555,0.0
0.08,0.018876262626262626,0.005208333333333333,0.0
0.085,0.017765894236482473,0.004901960784313725,0.0
0.09,0.016778900112233444,0.004629629629629629,0.0
0.095,0.026422115895800107,0.0043859649122807015,0.0
0.1,0.025101010101010103,0.007107843137254902,0.0
0.105,0.023905723905723906,0.006769374416433239,0.0
0.11,0.022819100091827364,0.006461675579322638,0.0
0.115,0.021826965305226174,0.006180733162830349,0.0
0.12,0.020917508417508418,0.005923202614379085,0.0
0.125,0.02008080808080808,0.005686274509803921,0.0
0.13,0.019308469308469307,0.005467571644042232,0.0
0.135,0.018593340815563037,0.005265068990559186,0.0
0.14,0.01792929292929293,0.00507703081232493,0.0
0.145,0.017311041448972483,0.004901960784313725,0.0
0.15,0.016734006734006733,0.004738562091503268,0.0
0.155,0.016194200065167808,0.004585705249841872,0.0
0.16,0.026104797979797978,0.0044424019607843136,0.0
0.165,0.03541475359657177,0.004307783719548425,0.0
0.17,0.034373143196672604,0.004181084198385236,0.0
0.175,0.03339105339105339,0.004061624649859943,0.0
0.18,0.04833654000320667,0.00394880174291939,0.0
0.185,0.047030147030147025,0.003842077371489136,0.0
0.19,0.05631882737145894,0.003740970072239422,0.0
0.195,0.06694111988229635,0.0036450477626948216,0.0
0.2,0.0674415049287172,0.003553921568627451,0.0
0.205,0.06579659017435824,0.0034672405547584886,0.0
0.21,0.06423000469401638,0.0033846872082166197,0.0
0.215,0.0714572138871788,0.0033059735522115823,0.0
0.22,0.06983318629883382,0.025958110516934044,0.0
0.225,0.06828133771441529,0.025381263616557733,0.0
0.23,0.07223174341627582,0.02482949701619778,0.0
0.235,0.0807074134562299,0.02430120984564038,0.0
0.24,0.08497838996160607,0.023794934640522875,0.0
0.245,0.08324413710524677,0.023309323729491797,0.0
